GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
soccerbuddy-model,com.soccerbuddy.model,RegisteringGroup,62,0,0,0,6,0,8,0,8,0
soccerbuddy-model,com.soccerbuddy.model,Result.ResultBuilder,27,35,0,0,0,1,1,6,1,6
soccerbuddy-model,com.soccerbuddy.model,Result,27,43,0,0,1,10,1,7,1,7
soccerbuddy-model,com.soccerbuddy.model,RegisteringGroup.RegisteringGroupBuilder,62,0,0,0,1,0,7,0,7,0
soccerbuddy-model,com.soccerbuddy.model,RegisteringUser,81,0,0,0,9,0,11,0,11,0
soccerbuddy-model,com.soccerbuddy.model,ResponseCode,5,52,0,0,0,8,1,4,1,4
soccerbuddy-model,com.soccerbuddy.model,UserRegistrationStatus,99,0,2,0,15,0,8,0,7,0
soccerbuddy-model,com.soccerbuddy.model,RegisteringUser.RegisteringUserBuilder,75,0,0,0,1,0,8,0,8,0
soccerbuddy-model,com.soccerbuddy.util,LogMarker,71,0,6,0,10,0,9,0,6,0
soccerbuddy-model,com.soccerbuddy.exception,ServiceError.Type,5,73,0,0,0,11,1,5,1,5
soccerbuddy-model,com.soccerbuddy.exception,ServiceError.ServiceErrorBuilder,17,21,0,0,0,1,1,4,1,4
soccerbuddy-model,com.soccerbuddy.exception,DataStoreException,19,0,0,0,7,0,4,0,4,0
soccerbuddy-model,com.soccerbuddy.exception,ServiceError,17,27,0,0,1,7,1,5,1,5
